rmrecnbr,bldrecnbr,bld_descrshort,bld_descr50,floor,rmnbr,rmsqrft,rmstationcnt,deptid,rmtyp,rmsubtyp,rmtyp_descrshort,rmsubtyp_descrshort,dept_descr,falist,occlist,occdeptlist,grantdtlist,rmfnclist,fa_avail,fa_reserve,fa_na,refreshed_at,MGIS-Color
2098697,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A217J,32,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2098698,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A219C,57,0,000500,030,02,Mechanical,Comm,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098699,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A220Z,1116,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098700,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A221,249,0,000500,020,06,Circulat'n,LobbyVest,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098701,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A225,178,0,311640,730,02,CenStorage,MultiPrps,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098702,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A225A,19,0,311640,315,14,Office Svc,Closet,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098703,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A227,127,0,311640,730,02,CenStorage,MultiPrps,MM UHCVC Security Svcs,,,MM UHCVC Security Svcs (311640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098704,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A231,118,0,316023,850,01,Treat/Exam,ConsultRm,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098705,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1A233E,66,0,000500,030,03,Mechanical,ElectEquip,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098706,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B100Z,1365,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098707,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B110,262,0,000500,020,06,Circulat'n,LobbyVest,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098708,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B200Z,1188,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098709,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B201T,253,0,000500,040, ,PubRestRm, ,Institutional Org,,,,,Public Restroom(0040) - 100%,0,0,0,,
2098710,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B203J,30,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2098711,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B205T,260,0,000500,040, ,PubRestRm, ,Institutional Org,,,,,Public Restroom(0040) - 100%,0,0,0,,
2098716,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216,1100,11,316023,830,00,Nurse Stat,Nurse Stat,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184313,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-01,75,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184314,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-02,74,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184315,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-03,75,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184316,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-04,74,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184317,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-05,102,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184318,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-06,109,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184319,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-07,97,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184320,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-08,93,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184321,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-09,77,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184322,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-10,79,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184323,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-11,86,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184324,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-12,88,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2184325,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216-13,88,0,316023,850,07,Treat/Exam,ExtendStay,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098713,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216A,72,2,316023,310,00,Office,Office,MM  Nsg OH CNE,,bmiszy-STFA; lisaegan-STFA; pyarger-STFA,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098712,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216B,72,0,316023,855,03,Tr/ExamSvc,EqmtStrgRm,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098714,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216D,158,0,316023,835,04,NurseStnSr,MedSupply,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098715,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216F,60,0,316023,835,07,NurseStnSr,SoiledLin,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098717,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216G,95,0,316023,315,09,Office Svc,DptLounge,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2100835,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216K,209,0,316023,835,04,NurseStnSr,MedSupply,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2100836,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B216T,46,1,316023,855,14,Tr/ExamSvc,OutPtToilt,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2100834,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B218T,60,1,316023,855,14,Tr/ExamSvc,OutPtToilt,MM  Nsg OH CNE,,,MM UH CVC Surg Short Stay (316028) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098719,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B300,164,2,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,waynicha-STFA; tburse-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098721,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B302,99,1,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,hcunning-STFC,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098724,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B309,418,0,314640,720,01,Shop,General,MM Oper Rooms - Univ Hospital,,,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098727,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311,156,0,314640,315,03,Office Svc,FileRm,MM Oper Rooms - Univ Hospital,,,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2171126,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311A,143,3,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,csj-STFA; helchang-STFA; pshm-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2171125,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311B,162,3,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,aokeefe-STFA; jaimea-STFA; hameliss-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2171124,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311D,99,1,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,ckrage-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2171123,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311F,125,2,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,tdrossma-STFA; sselva-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2171122,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B311G,97,1,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,mfast-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098729,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B313,101,2,315406,830,02,Nurse Stat,StaffRm,MM Neurology IOM,,sljones-STFC,MM Neurology IOM (315406) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098730,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B319,97,2,314640,310,00,Office,Office,MM Oper Rooms - Univ Hospital,,kaitmcm-STFS; meganbra-STFA,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098732,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B320Z,796,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2171115,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B322,183,6,316023,310,16,Office,FlexOffice,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098738,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B328,337,15,315760,350,00,Conference,Conference,MM Surgery Admin,,,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098742,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B336J,46,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2098743,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B338,327,5,316023,310,17,Office,FlxOpnWkSt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098744,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B339,214,6,315406,830,02,Nurse Stat,StaffRm,MM Neurology IOM,,,MM Neurology IOM (315406) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098748,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B342,435,1,314640,350,00,Conference,Conference,MM Oper Rooms - Univ Hospital,,,MM Oper Rooms - Univ Hospital (314640) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098749,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B400T,48,0,000500,040, ,PubRestRm, ,Institutional Org,,,,,Public Restroom(0040) - 100%,0,0,0,,
2098750,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B400Z,1095,0,315760,315,08,Office Svc,AssignCir,MM Surgery Admin,,,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098751,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B401,207,10,315760,880,02,PublicWait,ReceptWtg,MM Surgery Admin,,,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098752,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B402,107,0,316023,315,11,Office Svc,DptStorage,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098753,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B404,28,0,315760,315,01,Office Svc,SupplyRm,MM Surgery Admin,,,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098755,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B406,98,1,315760,310,16,Office,FlexOffice,MM Surgery Admin,,,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098756,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B407,135,1,315760,310,00,Office,Office,MM Surgery Admin,,stollh-STFA,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2122474,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B407A,109,2,315760,310,00,Office,Office,MM Surgery Admin,,cwag-STFC; smohar-STFC,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2122475,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B407B,95,1,315760,310,00,Office,Office,MM Surgery Admin,mjdelano(100%),mjdelano-FA,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2122476,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B407D,93,1,315760,310,00,Office,Office,MM Surgery Admin,kraghave(100%),kraghave-FA,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2122477,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B407E,117,2,315760,310,00,Office,Office,MM Surgery Admin,mhemmila(50%); stewartw(50%),mhemmila-FA; stewartw-FA,MM Trauma Burn Program (317930) - 100%,F052518(2024-08-31); N030158(2023-09-30),Other Institutional Activities(1302) - 60%; Organized Research(0202) - 40%,0,0,0,,
2098757,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B408,109,2,315760,310,00,Office,Office,MM Surgery Admin,,mrealer-STFA; cwegryn-STFA,MM Trauma Burn Program (317930) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098758,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B410,91,1,311679,890,02,StaffOnCal,HseOfcrOnC,MM CE COO Administration,,,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098759,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B411,255,2,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098760,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B411T,54,1,316023,820,02,PatientBth,InPatnBth,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098761,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B412,135,0,316023,850,02,Treat/Exam,DiagTrtmt,MM  Nsg OH CNE,,,MM Acute Care Team (315730) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098762,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B414,55,1,316023,830,00,Nurse Stat,Nurse Stat,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098763,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B415,251,2,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098764,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B415T,50,1,316023,820,02,PatientBth,InPatnBth,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2122483,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B416,79,1,311679,890,02,StaffOnCal,HseOfcrOnC,MM CE COO Administration,,,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098766,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B416T,30,1,311679,895,01,StfOnCallS,OnCllBthrm,MM CE COO Administration,,,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098767,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B418,112,0,316023,835,06,NurseStnSr,NurishmtRm,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098768,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B419,195,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098769,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B419T,74,1,316023,820,02,PatientBth,InPatnBth,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098771,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B421,199,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098772,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B422,193,0,316023,835,05,NurseStnSr,PrepStgRm,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098773,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B427,243,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098774,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B429,375,2,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098775,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B430,171,0,316023,835,02,NurseStnSr,ClnLin/MdS,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098776,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B430J,40,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2098777,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B431,192,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098778,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B433,190,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098779,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B434,99,0,316023,835,02,NurseStnSr,ClnLin/MdS,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098780,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B435,178,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098781,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B437,173,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2149237,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B438,81,0,316023,835,04,NurseStnSr,MedSupply,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098782,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B439,179,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098783,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B440T,55,1,316023,315,06,Office Svc,AsgnToilet,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098784,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B441,159,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098785,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B442,227,0,316023,835,04,NurseStnSr,MedSupply,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098786,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B443,187,1,316023,810,01,PatienBdrm,InPatnt,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2149188,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B444,77,0,316023,835,02,NurseStnSr,ClnLin/MdS,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098787,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1B450,1412,8,316023,830,00,Nurse Stat,Nurse Stat,MM  Nsg OH CNE,,,MM UH CVC Trauma Burn (316140) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2098788,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1C001V,257,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098789,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1C001X,241,0,000500,020,04,Circulat'n,Elevator,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2098790,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1C003V,126,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2098791,1000316,U HOSP,UNIVERSITY HOSPITAL,01,1C006V,158,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
